t(s),Q'''(W/m^3)
3.4959845121852275,88324961.29036675
3.501820445263375,88665155.99599169
3.5076472294674343,89005728.86402915
3.513464908453863,89346680.06077224
3.519273525534251,89688009.77819757
3.5250731236791184,90029718.19525771
3.5308637455216654,90371805.48743007
3.536645433361464,90714271.84609538
3.5424182291681006,91057117.45908216
3.5481821745847664,91400342.50079988
3.5539373109317984,91743947.15163365
3.559683679210172,92087931.61751857
3.5654213201049423,92432296.06137322
3.5711502739886423,92777040.68133096
3.5768705809246297,93122165.65188292
3.582582280670391,93467671.1729234
3.5882854126807984,93813557.43038602
3.5939800161113244,94159824.60596208
3.59966612982121,94506472.88690822
3.605343792376591,94853502.46602617
3.6110130420535835,95200913.53171076
3.616673916841326,95548706.26785624
3.6223264544449805,95896880.86372428
3.6279706922886943,96245437.51392463
3.6336066675185226,96594376.40840538
3.6392344170053104,96943697.7323607
3.6448539773475375,97293401.6761587
3.6504653848741264,97643488.44535701
3.6560686756472105,97993958.21051373
3.6616638854648684,98344811.18738404
3.6672510498638218,98696047.54649353
3.672830204122097,99047667.49349512
3.6784013832616522,99399671.2188359
3.683964622050972,99752058.90771602
3.6895199550076256,100104830.77040604
3.6950674164007933,100457986.99162462
3.700607040253761,100811527.76079877
3.7061388603463814,101165453.2822257
3.7116629102175045,101519763.75474252
3.717179223167377,101874459.36143127
3.722687832260009,102229540.30012412
3.728188770325515,102585006.78345904
3.7336820699624207,102940858.98768593
3.739167763539942,103297097.12421499
3.744645883200237,103653721.37814508
3.750116460860628,104010731.95949793
3.755579528215795,104368129.06211838
3.761035116739944,104725912.89448029
3.7664832576889467,105084083.62806822
3.771923982102453,105442641.49022132
3.7773573208059785,105801586.67120415
3.7827833044129666,106160919.37579626
3.7882019633268236,106520639.79217525
3.7936133277429294,106880748.13338289
3.7990174276506234,107241244.5853563
3.804414292835168,107602129.36930257
3.809803952879684,107963402.67921314
3.8151864371670663,108325064.71302369
3.820561774881875,108687115.67260134
3.8259299950122037,109049555.76373138
3.8312911263515237,109412385.19610469
3.8366451975005087,109775604.16227183
3.841992236868836,110139212.87961307
3.8473322726769656,110503211.53774393
3.8526653329579004,110867600.35108486
3.8579914455589224,111232379.51670055
3.86331063814331,111597549.25649162
3.868622938192035,111963109.75372535
3.873928373005439,112329061.2270391
3.87922696970489,112695403.87750171
3.8845187552344203,113062137.9203855
3.8898037563623444,113429263.55326153
3.8950819996828585,113796780.98785429
3.9003535116176193,114164690.43941742
3.905618318417309,114532992.09463836
3.910876446163177,114901686.18638158
3.9161279207685675,115270772.90817428
3.9213727679804267,115640252.46760136
3.926611013380795,116010125.08636254
3.9318426823882806,116380390.96804203
3.9370678002595167,116751050.31951474
3.942286392090602,117122103.35093594
3.9474984828185242,117493550.26492818
3.952704097222569,117865391.29976924
3.9579032599257102,118237626.6429454
3.963095995395988,118610256.50670815
3.9682823279478674,118983281.10648513
3.973462281743585,119356700.6717407
3.9786358807944784,119730515.38073291
3.983803148962302,120104725.4800331
