TIRF Data File: Project 1464; Run 32
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none	SAE
44.160	39.94	553.99	0.035	0.024	21.722	19.127	83.63	1927.62	26.42	-913.76	15.22	11.67	-2.11	-0.03	31.80	76.43	87.23	87.07	27.45	0.136	0.156
44.180	39.94	553.21	0.031	0.022	21.722	19.156	83.58	1865.45	17.94	-909.63	24.04	12.54	-2.05	-0.02	31.80	76.51	87.28	86.93	27.57	0.134	0.154
44.200	39.96	552.31	0.037	0.024	21.722	19.196	83.53	1821.50	16.21	-888.52	21.32	21.06	-2.05	-0.02	31.77	76.54	87.14	86.71	27.55	0.132	0.152
44.220	39.99	551.49	0.037	0.022	21.724	19.241	83.48	1834.11	24.47	-874.75	13.61	27.15	-2.10	-0.03	31.77	76.49	86.92	86.51	27.56	0.129	0.149
44.240	40.04	550.90	0.034	0.022	21.724	19.281	83.48	1894.12	31.61	-887.39	7.95	25.53	-2.13	-0.04	31.77	76.49	86.95	86.54	27.55	0.127	0.147
44.260	40.07	550.28	0.032	0.021	21.727	19.319	83.43	1920.72	33.25	-910.98	10.85	13.39	-2.11	-0.04	31.74	76.40	87.09	86.73	27.56	0.125	0.145
44.280	40.10	549.50	0.035	0.022	21.722	19.360	83.48	1880.38	22.11	-915.27	20.55	10.37	-2.05	-0.02	31.75	76.38	87.12	86.71	27.56	0.122	0.142
44.300	40.15	548.37	0.032	0.021	21.725	19.425	83.33	1820.21	18.38	-897.47	23.33	16.34	-2.03	-0.02	31.75	76.33	86.87	86.54	27.54	0.118	0.138
44.320	40.17	547.31	0.035	0.024	21.722	19.471	83.43	1803.17	20.18	-879.78	17.66	24.89	-2.05	-0.02	31.76	76.27	86.59	86.34	27.57	0.116	0.136
44.340	40.16	546.53	0.032	0.024	21.725	19.494	83.38	1842.92	30.63	-875.69	8.68	26.92	-2.10	-0.03	31.76	76.23	86.42	86.20	27.55	0.114	0.134
44.360	40.15	545.83	0.031	0.021	21.721	19.515	83.33	1906.13	36.54	-899.67	7.07	19.74	-2.12	-0.04	31.75	76.24	86.50	86.36	27.57	0.113	0.133
